Time (ms),L-AI,L-TS,C7,R-TS,R-AI,T8,R-WRIST-JOINT,R-ELBOW-JOINT
12,0,0,0,0,0,0,0,0
42,-1.181251526,-1.038772583,-1.042993546,-1.443042755,-1.258934021,-1.596260071,-4.792510986,-2.963348389
77,-2.338096619,-2.01322937,-2.103143692,-2.959682465,-2.453964233,-3.076599121,-10.23823547,-7.023391724
111,-3.435028076,-2.852294922,-3.160560608,-4.550636292,-3.555290222,-4.386859894,-16.87165833,-13.19422913
139,-4.433288574,-3.478683472,-4.168483734,-6.152832031,-4.559570313,-5.527629852,-25.04125977,-22.21496582
175,-5.3048172,-3.788970947,-5.073646545,-7.716251373,-5.478126526,-6.52289772,-34.85821533,-34.49072266
209,-6.042137146,-3.667694092,-5.826442719,-9.232707977,-6.335655212,-7.400938034,-46.08140564,-49.92034912
244,-6.659179688,-3.033950806,-6.388084412,-10.68776321,-7.163269043,-8.185300827,-58.0227356,-67.6894989
272,-7.168579102,-1.885223389,-6.732673645,-12.02575684,-7.967407227,-8.885131836,-69.72091675,-86.55290222
308,-7.558380127,-0.306350708,-6.848937988,-13.18506241,-8.704078674,-9.490289688,-80.41122437,-105.5323486
339,-7.807235718,1.563995361,-6.752574921,-14.13205338,-9.29045105,-9.970449448,-89.87649536,-124.1771088
379,-7.915252686,3.579223633,-6.494174957,-14.85656738,-9.643058777,-10.27947807,-98.34533691,-142.2809906
410,-7.911880493,5.610092163,-6.144664764,-15.37072754,-9.719154358,-10.38427925,-106.1705933,-159.5713348
452,-7.848434448,7.550994873,-5.768405914,-15.71402359,-9.537826538,-10.30645561,-113.5942078,-175.5670624
481,-7.787475586,9.322677612,-5.400352478,-15.94447327,-9.169296265,-10.13128853,-120.6967773,-189.700058
518,-7.775436401,10.88458252,-5.036178589,-16.10672379,-8.690605164,-9.957372665,-127.4231567,-201.5695038
543,-7.808380127,12.25033569,-4.647319794,-16.19876099,-8.133026123,-9.826284409,-133.4850769,-211.0125275
586,-7.833587646,13.47914886,-4.212745667,-16.19503403,-7.477432251,-9.710435867,-138.3474731,-218.0204315
617,-7.787963867,14.64196777,-3.729797363,-16.10725784,-6.694023132,-9.554719925,-141.4619141,-222.628006
650,-7.630142212,15.78837585,-3.190544128,-15.98387527,-5.763656616,-9.302282333,-142.469574,-224.8269806
688,-7.356552124,16.9387207,-2.564472198,-15.84514236,-4.66758728,-8.901926041,-141.2471008,-224.5942841
717,-7.00579071,18.11151886,-1.813140869,-15.64748001,-3.379920959,-8.327278137,-137.9006653,-221.9670868
751,-6.627861023,19.3503952,-0.900550842,-15.30903625,-1.881278992,-7.589445114,-132.7088928,-217.0804901
790,-6.231033325,20.71537018,0.2122612,-14.7555809,-0.180343628,-6.722185135,-125.9599915,-210.191391
817,-5.766044617,22.24919128,1.552248001,-13.93695831,1.686813354,-5.754787445,-117.764679,-201.623703
848,-5.163215637,23.9446106,3.102888107,-12.81496811,3.68081665,-4.693616867,-108.1044312,-191.6014557
886,-4.379402161,25.74059296,4.793949127,-11.38622284,5.778053284,-3.517635345,-97.10876465,-180.170639
914,-3.41355896,27.54864502,6.523019791,-9.730705261,7.972961426,-2.187381744,-85.12277222,-167.3573761
948,-2.295402527,29.28386688,8.192790985,-7.999046326,10.26612854,-0.669467926,-72.49362183,-153.3048859
991,-1.071426392,30.89434814,9.743242264,-6.335678101,12.63990021,1.035610199,-59.48223877,-138.2355194
1022,0.206672668,32.38189697,11.15761948,-4.806346893,15.03842163,2.891277313,-46.35063171,-122.4792938
1049,1.488494873,33.78809357,12.44151974,-3.383239746,17.38690948,4.848436356,-33.36575317,-106.5344391
1085,2.724609375,35.14629364,13.60195351,-2.005157471,19.62473297,6.850967407,-20.75398254,-90.95674133
1114,3.857765198,36.42866516,14.63482761,-0.663188934,21.68119812,8.797647476,-8.742965698,-76.25231934
1155,4.812637329,37.51874542,15.51294899,0.564727783,23.43454742,10.51686192,2.3956604,-62.94102478
1187,5.50730896,38.24595642,16.18360138,1.548873901,24.74382782,11.81533718,12.34608459,-51.6242218
1218,5.879692078,38.4789505,16.58711243,2.179290771,25.51989746,12.55670547,20.76199341,-42.83377075
1251,5.898391724,38.19929504,16.68617821,2.416835785,25.75489807,12.69528484,27.3356781,-36.77957153
1285,5.557113647,37.48908997,16.48028564,2.280574799,25.5038147,12.26436043,31.87780762,-33.31230164
1315,4.872772217,36.46694946,16.00115585,1.815971375,24.85163879,11.35675335,34.33235168,-32.08850098
1343,3.887992859,35.23643494,15.29742336,1.091873169,23.8768158,10.09470081,34.76652527,-32.76271057
1388,2.660247803,33.85888672,14.41330719,0.1823349,22.61850739,8.579327583,33.3792572,-35.12686157
1424,1.24067688,32.35494232,13.3800621,-0.866100311,21.07091522,6.870172501,30.47729492,-39.09089661
1451,-0.324043274,30.73490143,12.22298145,-2.015167236,19.21604156,5.014688492,26.37554932,-44.56019592
1485,-1.965614319,29.02202606,10.97180748,-3.194637299,17.07769775,3.071466446,21.30477905,-51.39825439
1511,-3.590209961,27.24267578,9.662883759,-4.321510315,14.74884033,1.104120255,15.40194702,-59.44566345
1550,-5.113670349,25.40429688,8.321376801,-5.361797333,12.3560791,-0.829805374,8.756057739,-68.49996948
1591,-6.498054504,23.49868774,6.951421738,-6.350769043,9.999023438,-2.686525345,1.484741211,-78.31340027
1624,-7.751113892,21.52919006,5.555152893,-7.345241547,7.730621338,-4.447034836,-6.248428345,-88.62724304
1651,-8.893325806,19.52999878,4.155416489,-8.370197296,5.582901001,-6.120582581,-14.32077026,-99.22171021
1685,-9.924911499,17.56800842,2.812656403,-9.400650024,3.598571777,-7.71146965,-22.66165161,-109.9766998
1715,-10.80802917,15.73853302,1.624223709,-10.35840988,1.846862793,-9.165750504,-31.13795471,-120.8140411
1741,-11.46514893,14.15457153,0.69077301,-11.11433411,0.417190552,-10.36321449,-39.49261475,-131.5271759
1797,-11.79859924,12.91838074,0.086589813,-11.51616669,-0.601821899,-11.16195869,-47.40812683,-141.7526093
1824,-11.72392273,12.07862854,-0.14556694,-11.43943787,-1.136749268,-11.44514275,-54.63311768,-151.1085968
1853,-11.19606018,11.60997009,-0.007566452,-10.82927322,-1.147232056,-11.1535244,-61.04257202,-159.3161774
1883,-10.22145081,11.44150543,0.444131851,-9.727550507,-0.655387878,-10.30064964,-66.56723022,-166.2570038
1910,-8.845565796,11.50428772,1.123882294,-8.263572693,0.256828308,-8.961574554,-71.14935303,-171.9832916
1943,-7.115493774,11.75669861,1.951738358,-6.582263947,1.485107422,-7.249738693,-74.834198,-176.6615753
1979,-5.077163696,12.17922974,2.875076294,-4.783309937,2.935974121,-5.289709091,-77.82855225,-180.4592133
2022,-2.816856384,12.75189209,3.877799988,-2.922828674,4.551002502,-3.188949585,-80.38519287,-183.4272614
2053,-0.460678101,13.44169617,4.967470169,-1.018825531,6.300971985,-1.026086807,-82.62921143,-185.4326324
2075,1.87903595,14.21128845,6.151002884,0.954936981,8.141975403,1.141397476,-84.51803589,-186.1999969
2119,4.12877655,15.02098083,7.415187836,3.025371552,9.9868927,3.260362625,-85.94891357,-185.4603119
2155,6.231536865,15.81313324,8.712356567,5.141941071,11.71508026,5.264375687,-86.82980347,-183.0790558
2184,8.119155884,16.50048065,9.961591721,7.164859772,13.19936371,7.062961578,-86.98391724,-179.103714
2213,9.703689575,16.96627808,11.06353569,8.93441391,14.33235931,8.546775818,-85.94296265,-173.7754974
2250,10.89699554,17.08733368,11.91453934,10.33468246,15.0351944,9.611839294,-82.91540527,-167.4751434
2285,11.65263367,16.78509521,12.43169117,11.30353928,15.26141357,10.19155502,-77.40444946,-160.5634613
2319,11.99150085,16.06238556,12.58449268,11.81789017,15.02147675,10.28404427,-70.11010742,-153.249588
2363,11.98419952,14.99411774,12.40244484,11.90478134,14.40073395,9.965751648,-62.63122559,-145.6058502
2388,11.71980286,13.70353699,11.96189499,11.6667366,13.53713226,9.375083923,-56.00500488,-137.6077728
2422,11.30123138,12.34737396,11.36491966,11.26201248,12.58078003,8.673159599,-50.07601929,-129.141861
2453,10.8562088,11.07983398,10.70983887,10.84828568,11.66744995,8.013770103,-44.15507507,-120.0853119
2487,10.51911163,9.993629456,10.07371712,10.53727341,10.90460205,7.519902229,-37.78544617,-110.3781433
