Time (ms),L-AI,L-TS,C7,R-TS,R-AI,T8,R-WRIST-JOINT,R-ELBOW-JOINT
12,0,0,0,0,0,0,0,0
42,-0.264091492,0.341873169,-0.364028931,-1.226905823,-0.956291199,-0.498695374,3.99433136,3.730056763
77,-0.539718628,0.594009399,-0.815658569,-2.478134155,-1.902946472,-1.04876709,8.852226257,8.110046387
111,-0.813713074,0.690116882,-1.384307861,-3.746276855,-2.815505981,-1.677375793,15.33688354,13.78599548
139,-1.057601929,0.591804504,-2.043357849,-4.99017334,-3.660148621,-2.382591248,24.06155396,21.18901062
175,-1.243934631,0.283454895,-2.75617218,-6.155288696,-4.40536499,-3.143302917,35.47249603,30.55502319
209,-1.350532532,-0.220726013,-3.49382782,-7.189254761,-5.024353027,-3.930465698,49.7975235,41.98510742
244,-1.357917786,-0.878517151,-4.223182678,-8.059921265,-5.499160767,-4.719322205,67.02843475,55.55328369
272,-1.253967285,-1.642692566,-4.911605835,-8.772666931,-5.831199646,-5.492996216,87.04758453,71.43878174
308,-1.040313721,-2.479827881,-5.553222656,-9.370735168,-6.042480469,-6.239624023,109.6830063,89.89083862
339,-0.731239319,-3.380821228,-6.179374695,-9.937690735,-6.164337158,-6.950614929,134.7114258,111.0223312
379,-0.351402283,-4.367790222,-6.843254089,-10.59508514,-6.225730896,-7.62739563,161.9740601,134.7821808
410,0.068222046,-5.477912903,-7.59513855,-11.46141815,-6.246139526,-8.290924072,191.3684998,161.1597748
452,0.503761292,-6.732131958,-8.461845398,-12.59676361,-6.231956482,-8.96987915,222.6990356,190.2177429
481,0.949737549,-8.115592957,-9.444290161,-13.97901917,-6.175209045,-9.677764893,255.6882324,221.8119659
518,1.41280365,-9.578163147,-10.52887726,-15.52429199,-6.054527283,-10.40716553,290.0177307,255.3446198
543,1.898246765,-11.0472641,-11.6914444,-17.13309479,-5.838630676,-11.13405609,325.1835938,289.8794861
586,2.411735535,-12.4499588,-12.88549805,-18.72142792,-5.493362427,-11.82691956,360.4412842,324.5478821
617,2.972854614,-13.744133,-14.0297699,-20.22011566,-4.993743896,-12.45632172,395.0400085,358.812561
650,3.61390686,-14.92760468,-15.02388,-21.56607819,-4.335983276,-12.98988342,428.4385986,392.2509155
688,4.362998962,-16.01078796,-15.79389191,-22.70767212,-3.537590027,-13.39341736,460.2943726,424.2159424
717,5.23600769,-16.98618317,-16.32965088,-23.62371063,-2.625663757,-13.65310669,490.4349976,454.0170898
751,6.239456177,-17.81542206,-16.68237305,-24.33261871,-1.625793457,-13.78536987,518.8446655,481.3836365
790,7.367233276,-18.43639374,-16.92430878,-24.87417603,-0.556816101,-13.82322693,545.4819336,506.4902039
817,8.594085693,-18.79600525,-17.10592651,-25.28251648,0.569656372,-13.80220795,570.1372681,529.6256104
848,9.876152039,-18.89562988,-17.25312805,-25.57663727,1.745956421,-13.75501251,592.586731,551.0187988
886,11.15001678,-18.813797,-17.39653015,-25.77372742,2.96206665,-13.7119751,612.7823486,570.8342285
